collected_at,departure_date,origin,destination,route,airline,flight_number,departure_time,arrival_time,price,currency,travel_class,stops,source,days_to_departure,anomaly_prediction,anomaly_score,is_anomaly,anomaly_type
2026-08-23T12:34:17.472825,2026-09-22,BOM,BLR,BOM-BLR,IndiGo,6E 5294,2026-09-22 04:30,2026-09-22 06:25,4996,INR,Economy,0,SerpApi Google Flights,30.0,1,0.014807119989419415,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,DEL,BLR-DEL,Air India,AI 2486,2026-09-22 14:00,2026-09-22 16:45,8710,INR,Economy,0,SerpApi Google Flights,30.0,1,0.016473886029588658,False,normal
2026-08-23T12:22:22.818116,2026-08-24,DEL,BOM,DEL-BOM,Akasa Air,QP 1820,2026-08-24 17:30,2026-08-24 19:45,6880,INR,Economy,0,SerpApi Google Flights,1.0,1,0.01659592904038576,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,BOM,BLR-BOM,Air India,AI 2858,2026-09-22 02:20,2026-09-22 04:10,4617,INR,Economy,0,SerpApi Google Flights,30.0,1,0.017467490710459832,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,BOM,BLR-BOM,IndiGo,6E 5255,2026-08-24 17:25,2026-08-24 19:05,12212,INR,Economy,0,SerpApi Google Flights,1.0,1,0.019529855916103345,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BOM,DEL,BOM-DEL,SpiceJet,SG 816,2026-09-22 15:55,2026-09-22 17:55,6668,INR,Economy,0,SerpApi Google Flights,30.0,1,0.02218702886958157,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,BOM,BLR-BOM,IndiGo,6E 5031,2026-08-24 16:00,2026-08-24 17:45,12947,INR,Economy,0,SerpApi Google Flights,1.0,1,0.025347717661971192,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,DEL,BLR-DEL,IndiGo,6E 528,2026-08-24 21:40,2026-08-25 02:30,10923,INR,Economy,0,SerpApi Google Flights,1.0,1,0.02604570805033013,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,HYD,BLR-HYD,IndiGo,6E 312,2026-09-22 09:15,2026-09-22 10:30,4323,INR,Economy,0,SerpApi Google Flights,30.0,1,0.026178487183309618,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,HYD,BLR-HYD,IndiGo,6E 6067,2026-09-22 16:30,2026-09-22 17:45,4323,INR,Economy,0,SerpApi Google Flights,30.0,1,0.026178487183309618,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,HYD,BLR-HYD,IndiGo,6E 638,2026-09-22 18:35,2026-09-22 19:45,4323,INR,Economy,0,SerpApi Google Flights,30.0,1,0.026178487183309618,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,HYD,BLR-HYD,IndiGo,6E 537,2026-09-22 10:15,2026-09-22 11:30,4323,INR,Economy,0,SerpApi Google Flights,30.0,1,0.026178487183309618,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BLR,HYD,BLR-HYD,IndiGo,6E 6404,2026-09-22 11:35,2026-09-22 12:50,4323,INR,Economy,0,SerpApi Google Flights,30.0,1,0.026178487183309618,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,HYD,BLR-HYD,IndiGo,6E 6168,2026-08-26 17:40,2026-08-26 21:15,6538,INR,Economy,0,SerpApi Google Flights,3.0,1,0.02686657161915129,False,normal
2026-08-23T12:28:48.655759,2026-09-06,DEL,BLR,DEL-BLR,IndiGo,6E 2314,2026-09-06 05:45,2026-09-06 08:40,9518,INR,Economy,0,SerpApi Google Flights,14.0,1,0.027971761917933602,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,HYD,BLR-HYD,Air India Express,IX 2819,2026-08-24 12:30,2026-08-24 13:45,8346,INR,Economy,0,SerpApi Google Flights,1.0,1,0.029964084654711454,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,HYD,BLR-HYD,Alliance Air,9I 517,2026-08-24 21:50,2026-08-24 23:35,7505,INR,Economy,0,SerpApi Google Flights,1.0,1,0.030060557485781736,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,Akasa Air,QP 1821,2026-08-25 13:10,2026-08-25 16:00,12861,INR,Economy,0,SerpApi Google Flights,,1,0.032133814645271874,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,DEL,BLR-DEL,Air India,AI 2488,2026-08-24 22:30,2026-08-25 01:25,12878,INR,Economy,0,SerpApi Google Flights,1.0,1,0.03258889017025057,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BOM,DEL-BOM,IndiGo,6E 6676,2026-09-22 12:00,2026-09-22 14:15,6425,INR,Economy,0,SerpApi Google Flights,30.0,1,0.03437601735145923,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BOM,DEL-BOM,IndiGo,6E 6047,2026-09-22 11:00,2026-09-22 13:15,6425,INR,Economy,0,SerpApi Google Flights,30.0,1,0.03437601735145923,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BOM,DEL-BOM,IndiGo,6E 324,2026-09-22 13:00,2026-09-22 15:10,6425,INR,Economy,0,SerpApi Google Flights,30.0,1,0.03437601735145923,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,CCU,DEL-CCU,Akasa Air,QP 1803,2026-09-22 17:05,2026-09-22 19:25,8231,INR,Economy,0,SerpApi Google Flights,30.0,1,0.03873293623625307,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,DEL,BLR-DEL,IndiGo,6E 2313,2026-09-06 23:30,2026-09-07 02:20,8554,INR,Economy,0,SerpApi Google Flights,14.0,1,0.03885873705945142,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,CCU,DEL-CCU,IndiGo,6E 894,2026-09-22 10:15,2026-09-22 12:30,8346,INR,Economy,0,SerpApi Google Flights,30.0,1,0.03954814110321114,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BOM,HYD,BOM-HYD,IndiGo,6E 6195,2026-09-22 23:00,2026-09-23 00:35,5645,INR,Economy,0,SerpApi Google Flights,30.0,1,0.04429866576617525,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BOM,HYD,BOM-HYD,IndiGo,6E 5326,2026-09-22 19:40,2026-09-22 21:20,5645,INR,Economy,0,SerpApi Google Flights,30.0,1,0.04429866576617525,False,normal
2026-08-23T12:28:48.655759,2026-09-06,DEL,BLR,DEL-BLR,Air India,AI 2757,2026-09-06 00:15,2026-09-06 03:10,9270,INR,Economy,0,SerpApi Google Flights,14.0,1,0.044587920416964355,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,DEL,BLR-DEL,IndiGo,6E 840,2026-08-26 13:55,2026-08-26 16:45,12463,INR,Economy,0,SerpApi Google Flights,3.0,1,0.046666072593694485,False,normal
2026-08-23T12:28:48.655759,2026-09-06,DEL,BOM,DEL-BOM,IndiGo,6E 6328,2026-09-06 10:15,2026-09-06 12:35,6425,INR,Economy,0,SerpApi Google Flights,14.0,1,0.04693340778312227,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,DEL,BOM-DEL,Akasa Air,QP 1819,2026-08-24 14:30,2026-08-24 16:50,6912,INR,Economy,0,SerpApi Google Flights,1.0,1,0.047577611141315757,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BOM,BLR,BOM-BLR,Air India,AI 2812,2026-09-22 02:05,2026-09-22 04:10,5152,INR,Economy,0,SerpApi Google Flights,30.0,1,0.04763840731879543,False,normal
2026-08-23T12:27:46.629867,2026-08-30,BLR,HYD,BLR-HYD,Air India Express,IX 2018,2026-08-30 06:00,2026-08-30 07:25,4508,INR,Economy,0,SerpApi Google Flights,7.0,1,0.048286882659761554,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,BOM,BLR-BOM,IndiGo,6E 5089,2026-09-06 05:30,2026-09-06 07:15,4459,INR,Economy,0,SerpApi Google Flights,14.0,1,0.048321880950737084,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BOM,DEL,BOM-DEL,IndiGo,6E 6028,2026-09-06 12:15,2026-09-06 14:25,6457,INR,Economy,0,SerpApi Google Flights,14.0,1,0.04842848799929267,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,DEL,BLR-DEL,Air India Express,IX 2945,2026-08-26 16:35,2026-08-27 00:05,10042,INR,Economy,0,SerpApi Google Flights,3.0,1,0.05190138063507954,False,normal
2026-08-23T12:27:46.629867,2026-08-30,BLR,HYD,BLR-HYD,IndiGo,6E 6178,2026-08-30 06:25,2026-08-30 07:35,4323,INR,Economy,0,SerpApi Google Flights,7.0,1,0.05346773300042462,False,normal
2026-08-23T12:34:17.472825,2026-09-22,BOM,DEL,BOM-DEL,Air India,AI 2677,2026-09-22 13:00,2026-09-22 15:15,6614,INR,Economy,0,SerpApi Google Flights,30.0,1,0.05365086325170676,False,normal
2026-08-23T12:22:22.818116,2026-08-24,DEL,BOM,DEL-BOM,IndiGo,6E 324,2026-08-24 13:00,2026-08-24 15:10,6425,INR,Economy,0,SerpApi Google Flights,1.0,1,0.056223303798638935,False,normal
2026-08-23T12:27:46.629867,2026-08-30,DEL,BLR,DEL-BLR,IndiGo,6E 820,2026-08-30 03:00,2026-08-30 05:55,11161,INR,Economy,0,SerpApi Google Flights,7.0,1,0.057346410242690604,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BOM,HYD,BOM-HYD,IndiGo,6E 6195,2026-08-25 23:00,2026-08-26 00:35,6275,INR,Economy,0,SerpApi Google Flights,,1,0.05989071249453437,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,Akasa Air,QP 1516,2026-08-25 00:40,2026-08-25 02:35,6339,INR,Economy,0,SerpApi Google Flights,,1,0.06361732571036205,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,HYD,BLR-HYD,Star Air,S5 151,2026-08-26 19:15,2026-08-26 20:30,7886,INR,Economy,0,SerpApi Google Flights,3.0,1,0.06455717915643422,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,HYD,BLR-HYD,Air India Express,IX 2051,2026-08-25 14:55,2026-08-25 16:05,7697,INR,Economy,0,SerpApi Google Flights,,1,0.06466641384509031,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,HYD,BOM-HYD,IndiGo,6E 230,2026-08-24 13:55,2026-08-24 17:50,5945,INR,Economy,0,SerpApi Google Flights,1.0,1,0.0658729177557934,False,normal
2026-08-23T12:22:22.818116,2026-08-24,DEL,BLR,DEL-BLR,IndiGo,6E 846,2026-08-24 22:00,2026-08-25 00:55,8576,INR,Economy,0,SerpApi Google Flights,1.0,1,0.06899886617206086,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BOM,DEL,BOM-DEL,Akasa Air,QP 1819,2026-08-26 14:30,2026-08-26 16:50,6912,INR,Economy,0,SerpApi Google Flights,3.0,1,0.07164001716286816,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BOM,BLR,BOM-BLR,Akasa Air,QP 1516,2026-08-26 00:40,2026-08-26 02:35,5875,INR,Economy,0,SerpApi Google Flights,3.0,1,0.07505979970966836,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,HYD,BLR-HYD,IndiGo,6E 6067,2026-08-25 16:30,2026-08-25 17:45,7449,INR,Economy,0,SerpApi Google Flights,,1,0.07692605841469757,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,HYD,BLR-HYD,IndiGo,6E 6178,2026-09-06 06:25,2026-09-06 07:35,4323,INR,Economy,0,SerpApi Google Flights,14.0,1,0.07900366981606466,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,HYD,BLR-HYD,IndiGo,6E 484,2026-09-06 08:15,2026-09-06 09:30,4323,INR,Economy,0,SerpApi Google Flights,14.0,1,0.07900366981606466,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,HYD,BLR-HYD,IndiGo,6E 312,2026-09-06 09:15,2026-09-06 10:30,4323,INR,Economy,0,SerpApi Google Flights,14.0,1,0.07900366981606466,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,HYD,DEL-HYD,IndiGo,6E 6217,2026-09-22 16:15,2026-09-22 18:30,8295,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08175892874847535,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,HYD,DEL-HYD,IndiGo,6E 6282,2026-09-22 13:30,2026-09-22 15:45,8295,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08175892874847535,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,DEL,BLR-DEL,IndiGo,6E 528,2026-08-26 21:40,2026-08-27 02:30,10923,INR,Economy,0,SerpApi Google Flights,3.0,1,0.08186130439930028,False,normal
2026-08-23T12:22:22.818116,2026-08-24,DEL,BLR,DEL-BLR,Akasa Air,QP 1308,2026-08-24 20:55,2026-08-24 23:50,9031,INR,Economy,0,SerpApi Google Flights,1.0,1,0.08188914768916422,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,DEL,BOM-DEL,IndiGo,6E 6028,2026-08-24 12:15,2026-08-24 14:25,6457,INR,Economy,0,SerpApi Google Flights,1.0,1,0.08190282191418186,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,Air India,AI 428,2026-08-25 14:55,2026-08-25 17:35,12296,INR,Economy,0,SerpApi Google Flights,,1,0.08219801099368051,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BLR,DEL-BLR,IndiGo,6E 837,2026-09-22 17:00,2026-09-22 19:55,8576,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08386878535919029,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BLR,DEL-BLR,IndiGo,6E 880,2026-09-22 15:45,2026-09-22 18:40,8576,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08386878535919029,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BLR,DEL-BLR,IndiGo,6E 828,2026-09-22 14:30,2026-09-22 17:25,8576,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08386878535919029,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,BLR,DEL-BLR,IndiGo,6E 811,2026-09-22 18:20,2026-09-22 21:10,8576,INR,Economy,0,SerpApi Google Flights,30.0,1,0.08386878535919029,False,normal
2026-08-23T12:00:57.942656,2026-08-25,DEL,BOM,DEL-BOM,Akasa Air,QP 1807,2026-08-25 13:40,2026-08-25 15:55,6880,INR,Economy,0,SerpApi Google Flights,,1,0.08420701854401369,False,normal
2026-08-23T12:25:27.237547,2026-08-26,DEL,BLR,DEL-BLR,IndiGo,6E 846,2026-08-26 22:00,2026-08-27 00:55,8576,INR,Economy,0,SerpApi Google Flights,3.0,1,0.08636509111040658,False,normal
2026-08-23T12:22:22.818116,2026-08-24,DEL,BLR,DEL-BLR,Air India,AI 2512,2026-08-24 19:00,2026-08-24 21:55,8735,INR,Economy,0,SerpApi Google Flights,1.0,1,0.08696289886192543,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,DEL,BOM-DEL,Air India Express,IX 1050,2026-08-24 14:45,2026-08-24 17:00,6724,INR,Economy,0,SerpApi Google Flights,1.0,1,0.08940049955801921,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,IndiGo,6E 6653,2026-08-25 12:35,2026-08-25 18:00,10433,INR,Economy,0,SerpApi Google Flights,,1,0.09099515742859904,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BOM,DEL,BOM-DEL,Air India,AI 2430,2026-09-06 10:00,2026-09-06 12:20,6614,INR,Economy,0,SerpApi Google Flights,14.0,1,0.09101386529626188,False,normal
2026-08-23T12:25:27.237547,2026-08-26,DEL,BOM,DEL-BOM,IndiGo,6E 6047,2026-08-26 11:00,2026-08-26 13:15,6425,INR,Economy,0,SerpApi Google Flights,3.0,1,0.09138505721830237,False,normal
2026-08-23T12:27:46.629867,2026-08-30,DEL,BLR,DEL-BLR,Air India,AI 2757,2026-08-30 00:15,2026-08-30 03:10,11418,INR,Economy,0,SerpApi Google Flights,7.0,1,0.09216065554775654,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BOM,HYD,BOM-HYD,IndiGo,6E 5386,2026-08-26 15:10,2026-08-26 16:45,5960,INR,Economy,0,SerpApi Google Flights,3.0,1,0.09252506398035659,False,normal
2026-08-23T12:28:48.655759,2026-09-06,DEL,BOM,DEL-BOM,Air India,AI 2425,2026-09-06 10:30,2026-09-06 12:50,6582,INR,Economy,0,SerpApi Google Flights,14.0,1,0.09469054847323954,False,normal
2026-08-23T12:27:46.629867,2026-08-30,BLR,DEL,BLR-DEL,IndiGo,6E 804,2026-08-30 03:00,2026-08-30 05:50,8554,INR,Economy,0,SerpApi Google Flights,7.0,1,0.09647443245248527,False,normal
2026-08-23T12:27:46.629867,2026-08-30,BLR,DEL,BLR-DEL,Akasa Air,QP 1811,2026-08-30 04:15,2026-08-30 07:00,9150,INR,Economy,0,SerpApi Google Flights,7.0,1,0.09754300634210444,False,normal
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,IndiGo,6E 840,2026-08-25 13:55,2026-08-25 16:45,12463,INR,Economy,0,SerpApi Google Flights,,1,0.0976155170807565,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,HYD,BOM-HYD,Air India,AI 2869,2026-08-24 21:25,2026-08-24 23:05,5803,INR,Economy,0,SerpApi Google Flights,1.0,1,0.0978545176873506,False,normal
2026-08-23T12:27:46.629867,2026-08-30,DEL,HYD,DEL-HYD,IndiGo,6E 882,2026-08-30 23:15,2026-08-31 01:30,9322,INR,Economy,0,SerpApi Google Flights,7.0,1,0.09804350834412656,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,BLR,BOM-BLR,Air India,AI 2497,2026-08-24 22:10,2026-08-25 00:05,6801,INR,Economy,0,SerpApi Google Flights,1.0,1,0.09868402155046196,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,BLR,BOM-BLR,IndiGo,6E 5388,2026-08-24 22:20,2026-08-25 00:20,6809,INR,Economy,0,SerpApi Google Flights,1.0,1,0.09868402155046196,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,BOM,BLR-BOM,Akasa Air,QP 1130,2026-08-26 11:20,2026-08-26 13:10,8228,INR,Economy,0,SerpApi Google Flights,3.0,1,0.09885187853630001,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BOM,HYD,BOM-HYD,IndiGo,6E 6187,2026-08-24 00:30,2026-08-24 02:10,5645,INR,Economy,0,SerpApi Google Flights,1.0,1,0.09945076793526247,False,normal
2026-08-23T12:27:46.629867,2026-08-30,DEL,BLR,DEL-BLR,Air India,AI 2502,2026-08-30 03:15,2026-08-30 06:10,11318,INR,Economy,0,SerpApi Google Flights,7.0,1,0.10215489224999297,False,normal
2026-08-23T12:00:57.942656,2026-08-25,DEL,BLR,DEL-BLR,IndiGo,6E 846,2026-08-25 22:00,2026-08-26 00:55,8576,INR,Economy,0,SerpApi Google Flights,,1,0.10239888556928572,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,DEL,BLR-DEL,Air India,AI 2488,2026-09-06 22:30,2026-09-07 01:25,8710,INR,Economy,0,SerpApi Google Flights,14.0,1,0.10465514898710915,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BLR,DEL,BLR-DEL,Air India,AI 2868,2026-09-06 09:00,2026-09-06 12:00,8710,INR,Economy,0,SerpApi Google Flights,14.0,1,0.10465514898710915,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,BOM,BLR-BOM,IndiGo,6E 5351,2026-08-26 14:20,2026-08-26 16:05,7172,INR,Economy,0,SerpApi Google Flights,3.0,1,0.10674702104938416,False,normal
