collected_at,departure_date,origin,destination,airline,flight_number,departure_time,arrival_time,price,currency,travel_class,stops,source,collection_date,collection_time,flight_date,route,days_to_departure,departure_day,departure_hour,arrival_hour,is_weekend,log_price
2026-08-25 00:08:42.589023,2026-08-24,BLR,BOM,IndiGo,6E 5255,2026-08-24 17:25:00,2026-08-24 19:05:00,12212,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589023,2026-08-24,BLR-BOM,-1,Monday,17,19,False,9.410256237171089
2026-08-25 00:08:42.589027,2026-08-24,BLR,BOM,IndiGo,6E 5031,2026-08-24 16:00:00,2026-08-24 17:45:00,12947,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589027,2026-08-24,BLR-BOM,-1,Monday,16,17,False,9.468696615046134
2026-08-25 00:08:42.589030,2026-08-24,BLR,BOM,Akasa Air,QP 1528,2026-08-24 10:20:00,2026-08-24 12:10:00,15959,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589030,2026-08-24,BLR-BOM,-1,Monday,10,12,False,9.6778408710038
2026-08-25 00:08:42.602307,2026-08-30,BLR,DEL,IndiGo,6E 804,2026-08-30 03:00:00,2026-08-30 05:50:00,8554,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602307,2026-08-30,BLR-DEL,5,Sunday,3,5,True,9.054271186326293
2026-08-25 00:08:42.606112,2026-09-06,BLR,DEL,IndiGo,6E 2313,2026-09-06 23:30:00,2026-09-07 02:20:00,8554,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606112,2026-09-06,BLR-DEL,12,Sunday,23,2,True,9.054271186326293
2026-08-25 00:08:42.612450,2026-09-22,BLR,DEL,IndiGo,6E 6034,2026-09-22 18:15:00,2026-09-22 21:05:00,8554,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612450,2026-09-22,BLR-DEL,28,Tuesday,18,21,False,9.054271186326293
2026-08-25 00:08:42.602311,2026-08-30,BLR,DEL,Air India,AI 2414,2026-08-30 05:30:00,2026-08-30 08:25:00,8710,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602311,2026-08-30,BLR-DEL,5,Sunday,5,8,True,9.072341873818893
2026-08-25 00:08:42.606116,2026-09-06,BLR,DEL,Air India,AI 2868,2026-09-06 09:00:00,2026-09-06 12:00:00,8710,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606116,2026-09-06,BLR-DEL,12,Sunday,9,12,True,9.072341873818893
2026-08-25 00:08:42.606118,2026-09-06,BLR,DEL,Air India,AI 2488,2026-09-06 22:30:00,2026-09-07 01:25:00,8710,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606118,2026-09-06,BLR-DEL,12,Sunday,22,1,True,9.072341873818893
2026-08-25 00:08:42.612456,2026-09-22,BLR,DEL,Air India,AI 2486,2026-09-22 14:00:00,2026-09-22 16:45:00,8710,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612456,2026-09-22,BLR-DEL,28,Tuesday,14,16,False,9.072341873818893
2026-08-25 00:08:42.612458,2026-09-22,BLR,DEL,Air India Express,IX 1040,2026-09-22 14:40:00,2026-09-22 17:30:00,8740,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612458,2026-09-22,BLR-DEL,28,Tuesday,14,17,False,9.075779878580487
2026-08-25 00:08:42.602314,2026-08-30,BLR,DEL,Akasa Air,QP 1811,2026-08-30 04:15:00,2026-08-30 07:00:00,9150,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602314,2026-08-30,BLR-DEL,5,Sunday,4,7,True,9.121618441915379
2026-08-25 00:08:42.583705,2026-08-25,BLR,DEL,IndiGo,6E 6653,2026-08-25 12:35:00,2026-08-25 18:00:00,9897,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.583705,2026-08-25,BLR-DEL,0,Tuesday,12,18,False,9.200087995511831
2026-08-25 00:08:42.585045,2026-08-25,BLR,DEL,Air India Express,IX 2786,2026-08-25 09:20:00,2026-08-25 17:00:00,9970,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585045,2026-08-25,BLR-DEL,0,Tuesday,9,17,False,9.207436158828793
2026-08-25 00:08:42.595388,2026-08-26,BLR,DEL,Air India Express,IX 2945,2026-08-26 16:35:00,2026-08-27 00:05:00,10042,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.595388,2026-08-26,BLR-DEL,1,Wednesday,16,0,False,9.21463115339334
2026-08-25 00:08:42.585050,2026-08-25,BLR,DEL,IndiGo,6E 6653,2026-08-25 12:35:00,2026-08-25 18:00:00,10433,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585050,2026-08-25,BLR-DEL,0,Tuesday,12,18,False,9.252824983582338
2026-08-25 00:08:42.589791,2026-08-24,BLR,DEL,IndiGo,6E 528,2026-08-24 21:40:00,2026-08-25 02:30:00,10923,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589791,2026-08-24,BLR-DEL,-1,Monday,21,2,False,9.298717482593595
2026-08-25 00:08:42.595398,2026-08-26,BLR,DEL,IndiGo,6E 528,2026-08-26 21:40:00,2026-08-27 02:30:00,10923,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.595398,2026-08-26,BLR-DEL,1,Wednesday,21,2,False,9.298717482593595
2026-08-25 00:08:42.583711,2026-08-25,BLR,DEL,IndiGo,6E 840,2026-08-25 13:55:00,2026-08-25 16:45:00,11789,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.583711,2026-08-25,BLR-DEL,0,Tuesday,13,16,False,9.375006993531416
2026-08-25 00:08:42.583713,2026-08-25,BLR,DEL,Air India,AI 2486,2026-08-25 14:00:00,2026-08-25 16:45:00,12296,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.583713,2026-08-25,BLR-DEL,0,Tuesday,14,16,False,9.417110609172447
2026-08-25 00:08:42.585052,2026-08-25,BLR,DEL,Air India,AI 428,2026-08-25 14:55:00,2026-08-25 17:35:00,12296,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585052,2026-08-25,BLR-DEL,0,Tuesday,14,17,False,9.417110609172447
2026-08-25 00:08:42.583714,2026-08-25,BLR,DEL,Akasa Air,QP 1821,2026-08-25 13:10:00,2026-08-25 16:00:00,12419,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.583714,2026-08-25,BLR-DEL,0,Tuesday,13,16,False,9.42706335548747
2026-08-25 00:08:42.585054,2026-08-25,BLR,DEL,IndiGo,6E 840,2026-08-25 13:55:00,2026-08-25 16:45:00,12463,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585054,2026-08-25,BLR-DEL,0,Tuesday,13,16,False,9.430599768110529
2026-08-25 00:08:42.595400,2026-08-26,BLR,DEL,IndiGo,6E 840,2026-08-26 13:55:00,2026-08-26 16:45:00,12463,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.595400,2026-08-26,BLR-DEL,1,Wednesday,13,16,False,9.430599768110529
2026-08-25 00:08:42.585055,2026-08-25,BLR,DEL,Akasa Air,QP 1821,2026-08-25 13:10:00,2026-08-25 16:00:00,12861,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585055,2026-08-25,BLR-DEL,0,Tuesday,13,16,False,9.462032506694808
2026-08-25 00:08:42.589799,2026-08-24,BLR,DEL,Air India,AI 2488,2026-08-24 22:30:00,2026-08-25 01:25:00,12878,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589799,2026-08-24,BLR-DEL,-1,Monday,22,1,False,9.46335335689267
2026-08-25 00:08:42.589801,2026-08-24,BLR,DEL,IndiGo,6E 2313,2026-08-24 23:30:00,2026-08-25 02:20:00,13181,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.589801,2026-08-24,BLR-DEL,-1,Monday,23,2,False,9.486607541612665
2026-08-25 00:08:42.602708,2026-08-30,BLR,HYD,IndiGo,6E 6178,2026-08-30 06:25:00,2026-08-30 07:35:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602708,2026-08-30,BLR-HYD,5,Sunday,6,7,True,8.371936178759098
2026-08-25 00:08:42.606649,2026-09-06,BLR,HYD,IndiGo,6E 6178,2026-09-06 06:25:00,2026-09-06 07:35:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606649,2026-09-06,BLR-HYD,12,Sunday,6,7,True,8.371936178759098
2026-08-25 00:08:42.606656,2026-09-06,BLR,HYD,IndiGo,6E 484,2026-09-06 08:15:00,2026-09-06 09:30:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606656,2026-09-06,BLR-HYD,12,Sunday,8,9,True,8.371936178759098
2026-08-25 00:08:42.606658,2026-09-06,BLR,HYD,IndiGo,6E 312,2026-09-06 09:15:00,2026-09-06 10:30:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606658,2026-09-06,BLR-HYD,12,Sunday,9,10,True,8.371936178759098
2026-08-25 00:08:42.612759,2026-09-22,BLR,HYD,IndiGo,6E 312,2026-09-22 09:15:00,2026-09-22 10:30:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612759,2026-09-22,BLR-HYD,28,Tuesday,9,10,False,8.371936178759098
2026-08-25 00:08:42.612765,2026-09-22,BLR,HYD,IndiGo,6E 537,2026-09-22 10:15:00,2026-09-22 11:30:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612765,2026-09-22,BLR-HYD,28,Tuesday,10,11,False,8.371936178759098
2026-08-25 00:08:42.612767,2026-09-22,BLR,HYD,IndiGo,6E 6404,2026-09-22 11:35:00,2026-09-22 12:50:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612767,2026-09-22,BLR-HYD,28,Tuesday,11,12,False,8.371936178759098
2026-08-25 00:08:42.612768,2026-09-22,BLR,HYD,IndiGo,6E 6067,2026-09-22 16:30:00,2026-09-22 17:45:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612768,2026-09-22,BLR-HYD,28,Tuesday,16,17,False,8.371936178759098
2026-08-25 00:08:42.612770,2026-09-22,BLR,HYD,IndiGo,6E 638,2026-09-22 18:35:00,2026-09-22 19:45:00,4323,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.612770,2026-09-22,BLR-HYD,28,Tuesday,18,19,False,8.371936178759098
2026-08-25 00:08:42.606660,2026-09-06,BLR,HYD,Air India Express,IX 2018,2026-09-06 06:05:00,2026-09-06 07:25:00,4476,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.606660,2026-09-06,BLR-HYD,12,Sunday,6,7,True,8.406708458240965
2026-08-25 00:08:42.602714,2026-08-30,BLR,HYD,Air India Express,IX 2018,2026-08-30 06:00:00,2026-08-30 07:25:00,4508,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602714,2026-08-30,BLR-HYD,5,Sunday,6,7,True,8.413830678421084
2026-08-25 00:08:42.602716,2026-08-30,BLR,HYD,Air India Express,IX 2935,2026-08-30 08:55:00,2026-08-30 10:20:00,6091,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602716,2026-08-30,BLR-HYD,5,Sunday,8,10,True,8.714731714015052
2026-08-25 00:08:42.585535,2026-08-25,BLR,HYD,IndiGo,6E 6168,2026-08-25 17:40:00,2026-08-25 21:15:00,6118,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585535,2026-08-25,BLR-HYD,0,Tuesday,17,21,False,8.71915396346254
2026-08-25 00:08:42.602718,2026-08-30,BLR,HYD,IndiGo,6E 484,2026-08-30 08:15:00,2026-08-30 09:30:00,6326,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602718,2026-08-30,BLR-HYD,5,Sunday,8,9,True,8.752581469146884
2026-08-25 00:08:42.602719,2026-08-30,BLR,HYD,IndiGo,6E 312,2026-08-30 09:15:00,2026-08-30 10:30:00,6326,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.602719,2026-08-30,BLR-HYD,5,Sunday,9,10,True,8.752581469146884
2026-08-25 00:08:42.596113,2026-08-26,BLR,HYD,IndiGo,6E 6168,2026-08-26 17:40:00,2026-08-26 21:15:00,6538,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596113,2026-08-26,BLR-HYD,1,Wednesday,17,21,False,8.785539527561276
2026-08-25 00:08:42.584274,2026-08-25,BLR,HYD,Air India Express,IX 2051,2026-08-25 14:55:00,2026-08-25 16:05:00,7073,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584274,2026-08-25,BLR-HYD,0,Tuesday,14,16,False,8.864181369765426
2026-08-25 00:08:42.584277,2026-08-25,BLR,HYD,IndiGo,6E 6067,2026-08-25 16:30:00,2026-08-25 17:45:00,7449,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584277,2026-08-25,BLR-HYD,0,Tuesday,16,17,False,8.915969311373605
2026-08-25 00:08:42.585540,2026-08-25,BLR,HYD,IndiGo,6E 6067,2026-08-25 16:30:00,2026-08-25 17:45:00,7449,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585540,2026-08-25,BLR-HYD,0,Tuesday,16,17,False,8.915969311373605
2026-08-25 00:08:42.590294,2026-08-24,BLR,HYD,Alliance Air,9I 517,2026-08-24 21:50:00,2026-08-24 23:35:00,7505,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.590294,2026-08-24,BLR-HYD,-1,Monday,21,23,False,8.923457979694966
2026-08-25 00:08:42.585542,2026-08-25,BLR,HYD,Air India Express,IX 2051,2026-08-25 14:55:00,2026-08-25 16:05:00,7697,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585542,2026-08-25,BLR-HYD,0,Tuesday,14,16,False,8.948715833843691
2026-08-25 00:08:42.596120,2026-08-26,BLR,HYD,Star Air,S5 151,2026-08-26 19:15:00,2026-08-26 20:30:00,7886,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596120,2026-08-26,BLR-HYD,1,Wednesday,19,20,False,8.97297111339799
2026-08-25 00:08:42.590300,2026-08-24,BLR,HYD,Air India Express,IX 2819,2026-08-24 12:30:00,2026-08-24 13:45:00,8346,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.590300,2026-08-24,BLR-HYD,-1,Monday,12,13,False,9.029657471850737
2026-08-25 00:08:42.590303,2026-08-24,BLR,HYD,Star Air,S5 151,2026-08-24 08:05:00,2026-08-24 09:20:00,9600,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.590303,2026-08-24,BLR-HYD,-1,Monday,8,9,False,9.169622538697624
2026-08-25 00:08:42.584279,2026-08-25,BLR,HYD,IndiGo,6E 6404,2026-08-25 11:35:00,2026-08-25 12:50:00,9605,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584279,2026-08-25,BLR-HYD,0,Tuesday,11,12,False,9.17014318222477
2026-08-25 00:08:42.596122,2026-08-26,BLR,HYD,Air India Express,IX 1250,2026-08-26 19:15:00,2026-08-26 20:35:00,9854,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596122,2026-08-26,BLR-HYD,1,Wednesday,19,20,False,9.19573421958682
2026-08-25 00:08:42.596124,2026-08-26,BLR,HYD,IndiGo,6E 6178,2026-08-26 06:25:00,2026-08-26 07:35:00,10478,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596124,2026-08-26,BLR-HYD,1,Wednesday,6,7,False,9.257128533474942
2026-08-25 00:08:42.582566,2026-08-25,BOM,BLR,IndiGo,6E 5294,2026-08-25 04:30:00,2026-08-25 06:25:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.582566,2026-08-25,BOM-BLR,0,Tuesday,4,6,False,8.516593011344206
2026-08-25 00:08:42.585902,2026-08-25,BOM,BLR,IndiGo,6E 5294,2026-08-25 04:30:00,2026-08-25 06:25:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585902,2026-08-25,BOM-BLR,0,Tuesday,4,6,False,8.516593011344206
2026-08-25 00:08:42.603091,2026-08-30,BOM,BLR,IndiGo,6E 5323,2026-08-30 01:10:00,2026-08-30 03:05:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.603091,2026-08-30,BOM-BLR,5,Sunday,1,3,True,8.516593011344206
2026-08-25 00:08:42.603096,2026-08-30,BOM,BLR,IndiGo,6E 5294,2026-08-30 04:30:00,2026-08-30 06:25:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.603096,2026-08-30,BOM-BLR,5,Sunday,4,6,True,8.516593011344206
2026-08-25 00:08:42.607229,2026-09-06,BOM,BLR,IndiGo,6E 5323,2026-09-06 01:10:00,2026-09-06 03:05:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.607229,2026-09-06,BOM-BLR,12,Sunday,1,3,True,8.516593011344206
2026-08-25 00:08:42.607236,2026-09-06,BOM,BLR,IndiGo,6E 5294,2026-09-06 04:30:00,2026-09-06 06:25:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.607236,2026-09-06,BOM-BLR,12,Sunday,4,6,True,8.516593011344206
2026-08-25 00:08:42.613138,2026-09-22,BOM,BLR,IndiGo,6E 5294,2026-09-22 04:30:00,2026-09-22 06:25:00,4996,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.613138,2026-09-22,BOM-BLR,28,Tuesday,4,6,False,8.516593011344206
2026-08-25 00:08:42.582570,2026-08-25,BOM,BLR,Air India,AI 2812,2026-08-25 02:05:00,2026-08-25 04:10:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.582570,2026-08-25,BOM-BLR,0,Tuesday,2,4,False,8.547334348328224
2026-08-25 00:08:42.585907,2026-08-25,BOM,BLR,Air India,AI 2812,2026-08-25 02:05:00,2026-08-25 04:10:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585907,2026-08-25,BOM-BLR,0,Tuesday,2,4,False,8.547334348328224
2026-08-25 00:08:42.585909,2026-08-25,BOM,BLR,Air India,AI 2845,2026-08-25 05:30:00,2026-08-25 07:35:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585909,2026-08-25,BOM-BLR,0,Tuesday,5,7,False,8.547334348328224
2026-08-25 00:08:42.596582,2026-08-26,BOM,BLR,Air India,AI 2812,2026-08-26 02:05:00,2026-08-26 04:10:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596582,2026-08-26,BOM-BLR,1,Wednesday,2,4,False,8.547334348328224
2026-08-25 00:08:42.603098,2026-08-30,BOM,BLR,Air India,AI 2812,2026-08-30 02:05:00,2026-08-30 04:10:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.603098,2026-08-30,BOM-BLR,5,Sunday,2,4,True,8.547334348328224
2026-08-25 00:08:42.607238,2026-09-06,BOM,BLR,Air India,AI 2410,2026-09-06 05:30:00,2026-09-06 07:35:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.607238,2026-09-06,BOM-BLR,12,Sunday,5,7,True,8.547334348328224
2026-08-25 00:08:42.613144,2026-09-22,BOM,BLR,Air India,AI 2812,2026-09-22 02:05:00,2026-09-22 04:10:00,5152,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.613144,2026-09-22,BOM-BLR,28,Tuesday,2,4,False,8.547334348328224
2026-08-25 00:08:42.585911,2026-08-25,BOM,BLR,IndiGo,6E 5323,2026-08-25 01:10:00,2026-08-25 03:05:00,5311,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.585911,2026-08-25,BOM-BLR,0,Tuesday,1,3,False,8.57772369115627
2026-08-25 00:08:42.596589,2026-08-26,BOM,BLR,IndiGo,6E 5294,2026-08-26 04:30:00,2026-08-26 06:25:00,5311,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596589,2026-08-26,BOM-BLR,1,Wednesday,4,6,False,8.57772369115627
2026-08-25 00:08:42.613146,2026-09-22,BOM,BLR,Akasa Air,QP 1133,2026-09-22 20:05:00,2026-09-22 21:45:00,5451,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.613146,2026-09-22,BOM-BLR,28,Tuesday,20,21,False,8.603737792816423
2026-08-25 00:08:42.582572,2026-08-25,BOM,BLR,Akasa Air,QP 1516,2026-08-25 00:40:00,2026-08-25 02:35:00,5875,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.582572,2026-08-25,BOM-BLR,0,Tuesday,0,2,False,8.678631537293768
2026-08-25 00:08:42.596591,2026-08-26,BOM,BLR,Akasa Air,QP 1516,2026-08-26 00:40:00,2026-08-26 02:35:00,5875,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.596591,2026-08-26,BOM-BLR,1,Wednesday,0,2,False,8.678631537293768
